id,name,category,unit,unit price
1,Steel Water bottle,720,8,101
67,ASUS Zenfone 9,mobile devices,33,400
06,Knit Dress,clothing,400,140
500,Quilted Vest,clothing,308,365
16-920-0703,Organic Blueberries,Food - Fruits,377,497.38
03-074-8334,Electronic Drum Kit,Music,911,697.55
27-587-0923,Spinach Pizza Rolls,Food - Frozen Foods,147,260.59
49-092-4447,Bluetooth Tracker,Accessories,102,315.57
96-142-6344,Garden Tool Belt,Garden,313,216.56
24-139-8675,Board Game,Toys,459,878.42
24-574-7455,Smartphone Tripod with Remote,Photography,114,356.63
75-871-7136,Electric Food Slicer,Kitchen,980,586.68
81-807-3237,Tennis Racket,Fitness,227,799.53
08-513-8385,Classic Black Dress,Clothing - Dresses,768,508.2
49-793-7198,Reusable Silicone Food Storage Bags,Kitchen,284,536.24
19-663-0288,Caramelized Onion Dip,Food - Dairy,484,521.41
94-080-5790,Vanilla Almond Granola,Food - Breakfast,818,690.43
04-195-1926,Cinnamon Spiced Almonds,Food - Snacks,792,159.81
73-202-1649,Ceramic Knife Set,Kitchen,226,792.54
86-322-4484,Smartphone Camera Lens Kit,Photography,765,838.27
25-657-6587,Fashionable Fanny Pack,Clothing - Accessories,325,325.21
98-638-6837,Maple Pecan Oatmeal Cookies,Food - Bakery,873,439.97
53-522-3803,Jigsaw Puzzle,Toys,733,356.5
87-946-9090,Fishing Rod,Outdoor,114,90.79
44-655-6515,Durable Hiking Boots,Footwear,956,27.6
38-382-4337,Basic V-Neck T-Shirt,Clothing - Tops,855,642.25
17-820-7139,Drone,Electronics,298,901.02
61-728-5255,Infrared Space Heater,Home Appliances,392,665.9
68-994-0373,Lemon Sorbet,Food - Frozen Desserts,728,106.53
10-280-9734,Bock Beer Mustard,Food - Condiments,214,124.36
52-484-1179,Thyme,Food - Fresh Produce,938,845.38
03-997-2981,Bamboo Utensil Set,Kitchen,557,7.99
26-304-6687,Greek Feta Cheese,Food - Dairy,492,514.28
28-063-1442,Sesame Garlic Stir-Fry Sauce,Food - Sauces,964,725.65
49-978-9637,Sweet Pea Hummus,Food - Dips,690,239.37
38-472-0538,Brown Rice,Food - Grains,855,792.14
36-138-0768,LED Christmas Tree Lights,Home,237,253.24
23-971-3628,Indoor Plants,Garden,269,629.48
09-348-6996,Water-Resistant Bluetooth Speaker,Audio,451,262.45
84-254-8711,Beef Chili,Food - Canned Goods,82,112.57
12-456-2498,Chocolate Chip Pancake Mix,Food - Bakery,961,931.87
49-252-4945,Raspberry Limeade,Food - Beverages,536,577.17
72-632-0009,Fitness Jump Box,Fitness,517,446.4
51-375-8552,Carrot Sticks,Food - Produce,200,742.41
56-224-0499,Sporty Leggings,Clothing - Activewear,204,113.28
70-769-9096,Chickpea Pancakes,Food - Frozen,227,285.61
28-011-5513,Oats,Food - Grains,149,365.2
54-271-4758,Wireless Charger,Accessories,564,283.1
55-800-7686,Puzzle Game Set,Toys,414,90.15
00-854-8459,Nail Polish Set,Beauty,186,684.5
59-630-1359,Vegan Mayonnaise,Food - Condiments,747,427.35
82-829-0714,Travel Sewing Kit,Travel,416,171.09
86-578-9777,Chocolate Chip Cookie Mix,Food - Baking,129,149.28
09-820-7895,Pasta Salad Kit,Food - Prepared Foods,361,580.89
