id,name,category,unit,unit price
1,Steel Water bottle,720,8,101
67,ASUS Zenfone 9,mobile devices,33,400
6,Knit Dress,clothing,400,140
500,Quilted Vest,clothing,308,365
16,Organic Blueberries,Food - Fruits,377,497.38
3,Electronic Drum Kit,Music,911,697.55
27,Spinach Pizza Rolls,Food - Frozen Foods,147,260.59
49,Bluetooth Tracker,Accessories,102,315.57
96,Garden Tool Belt,Garden,313,216.56
24,Board Game,Toys,459,878.42
24,Smartphone Tripod with Remote,Photography,114,356.63
75,Electric Food Slicer,Kitchen,980,586.68
81,Tennis Racket,Fitness,227,799.53
8,Classic Black Dress,Clothing - Dresses,768,508.2
49,Reusable Silicone Food Storage Bags,Kitchen,284,536.24
19,Caramelized Onion Dip,Food - Dairy,484,521.41
94,Vanilla Almond Granola,Food - Breakfast,818,690.43
4,Cinnamon Spiced Almonds,Food - Snacks,792,159.81
73,Ceramic Knife Set,Kitchen,226,792.54
86,Smartphone Camera Lens Kit,Photography,765,838.27
25,Fashionable Fanny Pack,Clothing - Accessories,325,325.21
98,Maple Pecan Oatmeal Cookies,Food - Bakery,873,439.97
53,Jigsaw Puzzle,Toys,733,356.5
87,Fishing Rod,Outdoor,114,90.79
44,Durable Hiking Boots,Footwear,956,27.6
38,Basic V-Neck T-Shirt,Clothing - Tops,855,642.25
17,Drone,Electronics,298,901.02
61,Infrared Space Heater,Home Appliances,392,665.9
68,Lemon Sorbet,Food - Frozen Desserts,728,106.53
10,Bock Beer Mustard,Food - Condiments,214,124.36
52,Thyme,Food - Fresh Produce,938,845.38
3,Bamboo Utensil Set,Kitchen,557,7.99
26,Greek Feta Cheese,Food - Dairy,492,514.28
28,Sesame Garlic Stir-Fry Sauce,Food - Sauces,964,725.65
49,Sweet Pea Hummus,Food - Dips,690,239.37
38,Brown Rice,Food - Grains,855,792.14
36,LED Christmas Tree Lights,Home,237,253.24
23,Indoor Plants,Garden,269,629.48
9,Water-Resistant Bluetooth Speaker,Audio,451,262.45
84,Beef Chili,Food - Canned Goods,82,112.57
12,Chocolate Chip Pancake Mix,Food - Bakery,961,931.87
49,Raspberry Limeade,Food - Beverages,536,577.17
72,Fitness Jump Box,Fitness,517,446.4
51,Carrot Sticks,Food - Produce,200,742.41
56,Sporty Leggings,Clothing - Activewear,204,113.28
70,Chickpea Pancakes,Food - Frozen,227,285.61
28,Oats,Food - Grains,149,365.2
54,Wireless Charger,Accessories,564,283.1
55,Puzzle Game Set,Toys,414,90.15
0,Nail Polish Set,Beauty,186,684.5
59,Vegan Mayonnaise,Food - Condiments,747,427.35
82,Travel Sewing Kit,Travel,416,171.09
86,Chocolate Chip Cookie Mix,Food - Baking,129,149.28
9,Pasta Salad Kit,Food - Prepared Foods,361,580.89
